epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9915,1.32948,1.96012,1.10816,0.79369,0.48089,0.67565,0.44693,1.32218,2.24161,1.02605,0.000655914,0.000655914,0.000655914
2,34.708,1.27115,0.91015,1.06763,0.90308,0.91064,0.95497,0.64515,1.30621,0.79752,1.11011,0.00131822,0.00131822,0.00131822
3,47.7159,1.25819,0.87905,1.06238,0.8991,0.91803,0.94336,0.6154,1.31516,0.7743,1.07537,0.00197612,0.00197612,0.00197612
4,60.7153,1.26926,0.8617,1.06911,0.90641,0.92334,0.95631,0.64659,1.31409,0.74715,1.10967,0.0019802,0.0019802,0.0019802
5,73.7412,1.23967,0.79728,1.05608,0.90592,0.9169,0.9579,0.63772,1.3226,0.70766,1.08789,0.0019736,0.0019736,0.0019736
6,86.8716,1.25006,0.78082,1.06186,0.90372,0.91553,0.9587,0.65421,1.31896,0.68592,1.08944,0.001967,0.001967,0.001967
7,99.804,1.20994,0.74723,1.05252,0.90404,0.93555,0.95462,0.64732,1.25173,0.68196,1.04368,0.0019604,0.0019604,0.0019604
8,112.713,1.20242,0.73578,1.04917,0.92017,0.92773,0.96172,0.65573,1.27513,0.65342,1.05816,0.0019538,0.0019538,0.0019538
9,126.194,1.2212,0.73609,1.04532,0.90944,0.91943,0.95907,0.6659,1.28002,0.64439,1.07757,0.0019472,0.0019472,0.0019472
10,139.353,1.19619,0.70319,1.04557,0.91793,0.91455,0.96548,0.67452,1.2718,0.62771,1.06471,0.0019406,0.0019406,0.0019406
11,152.369,1.19342,0.70211,1.04688,0.90082,0.92246,0.95798,0.65576,1.35524,0.66414,1.12722,0.001934,0.001934,0.001934
12,165.378,1.22533,0.70284,1.04962,0.91675,0.93066,0.96671,0.67926,1.15924,0.59919,1.02794,0.0019274,0.0019274,0.0019274
13,178.585,1.18596,0.68813,1.04113,0.91425,0.93799,0.96748,0.68424,1.23874,0.59406,1.05854,0.0019208,0.0019208,0.0019208
14,192.129,1.19898,0.68854,1.04366,0.92389,0.93056,0.97052,0.68199,1.22619,0.59918,1.05707,0.0019142,0.0019142,0.0019142
15,205.19,1.18294,0.67983,1.03753,0.91241,0.92059,0.96478,0.66788,1.29774,0.60777,1.08835,0.0019076,0.0019076,0.0019076
16,218.625,1.20774,0.68783,1.03816,0.90229,0.92871,0.96575,0.69089,1.18714,0.58476,1.03076,0.001901,0.001901,0.001901
17,231.797,1.17941,0.6686,1.04031,0.9104,0.93277,0.96935,0.68837,1.21542,0.59894,1.04862,0.0018944,0.0018944,0.0018944
18,244.996,1.16458,0.65498,1.02872,0.92289,0.93652,0.97354,0.69943,1.17406,0.57879,1.02683,0.0018878,0.0018878,0.0018878
19,258.334,1.18586,0.65167,1.03232,0.90572,0.93819,0.96729,0.68951,1.19843,0.56289,1.04084,0.0018812,0.0018812,0.0018812
20,271.469,1.18596,0.66331,1.03927,0.91626,0.92429,0.97104,0.68657,1.2182,0.5797,1.04798,0.0018746,0.0018746,0.0018746
21,284.564,1.17158,0.64162,1.03406,0.92263,0.93751,0.97119,0.69067,1.20473,0.55693,1.04288,0.001868,0.001868,0.001868
22,297.671,1.16867,0.6443,1.0316,0.92236,0.92871,0.97149,0.69958,1.18614,0.57203,1.03491,0.0018614,0.0018614,0.0018614
23,310.617,1.15153,0.63796,1.03445,0.91995,0.93896,0.97302,0.70258,1.19193,0.54748,1.03669,0.0018548,0.0018548,0.0018548
24,323.887,1.17056,0.63988,1.03352,0.91881,0.94043,0.97076,0.69628,1.16176,0.56136,1.02877,0.0018482,0.0018482,0.0018482
25,337.132,1.17669,0.64565,1.03085,0.90269,0.94922,0.97223,0.70311,1.235,0.56272,1.05199,0.0018416,0.0018416,0.0018416
26,350.294,1.16478,0.64226,1.03499,0.91645,0.93729,0.969,0.69984,1.1465,0.54706,1.0137,0.001835,0.001835,0.001835
27,363.542,1.17336,0.63933,1.03448,0.9228,0.93701,0.96967,0.69354,1.22657,0.54553,1.04971,0.0018284,0.0018284,0.0018284
28,376.845,1.16697,0.63642,1.02868,0.91434,0.93809,0.97307,0.70428,1.15464,0.54745,1.02578,0.0018218,0.0018218,0.0018218
29,390.013,1.15781,0.62637,1.02768,0.92622,0.93262,0.97386,0.70636,1.14956,0.53268,1.02015,0.0018152,0.0018152,0.0018152
30,403.019,1.1558,0.62786,1.03328,0.91326,0.94591,0.96948,0.69361,1.23317,0.55651,1.05432,0.0018086,0.0018086,0.0018086
31,416.033,1.16484,0.62998,1.03484,0.91607,0.93802,0.97104,0.7037,1.15722,0.53253,1.01963,0.001802,0.001802,0.001802
32,429.511,1.15267,0.6206,1.02413,0.9119,0.94511,0.97251,0.70238,1.23362,0.55297,1.05296,0.0017954,0.0017954,0.0017954
33,442.513,1.14144,0.62435,1.02702,0.91651,0.92733,0.97253,0.70023,1.16688,0.54345,1.02264,0.0017888,0.0017888,0.0017888
34,455.609,1.13751,0.62346,1.02722,0.90473,0.94629,0.96672,0.68333,1.28158,0.57517,1.08206,0.0017822,0.0017822,0.0017822
35,468.998,1.14921,0.62642,1.01645,0.91971,0.93963,0.97385,0.70764,1.16045,0.5376,1.01806,0.0017756,0.0017756,0.0017756
36,482.067,1.12679,0.60825,1.01839,0.91097,0.94238,0.97059,0.70199,1.18977,0.53814,1.03719,0.001769,0.001769,0.001769
37,495.372,1.15028,0.61235,1.02259,0.91588,0.94141,0.97104,0.70607,1.14435,0.53176,1.02006,0.0017624,0.0017624,0.0017624
38,508.678,1.14866,0.6122,1.02135,0.91408,0.93701,0.97135,0.69465,1.22579,0.54789,1.05503,0.0017558,0.0017558,0.0017558
39,521.801,1.14114,0.60403,1.02585,0.91875,0.94092,0.97289,0.71216,1.17933,0.53096,1.0289,0.0017492,0.0017492,0.0017492
40,534.985,1.14905,0.60465,1.01936,0.92015,0.95094,0.97447,0.71116,1.18246,0.52008,1.03027,0.0017426,0.0017426,0.0017426
41,548.192,1.1423,0.61915,1.01617,0.9168,0.93652,0.97087,0.70801,1.18608,0.53619,1.03534,0.001736,0.001736,0.001736
42,561.364,1.13082,0.61219,1.0199,0.89855,0.95581,0.97214,0.70269,1.21785,0.53463,1.04241,0.0017294,0.0017294,0.0017294
43,574.685,1.14807,0.60818,1.01999,0.92528,0.93457,0.97154,0.71152,1.13792,0.52995,1.0161,0.0017228,0.0017228,0.0017228
44,587.926,1.13542,0.60564,1.02253,0.91482,0.9492,0.96999,0.69884,1.2244,0.53309,1.04796,0.0017162,0.0017162,0.0017162
45,601.039,1.1406,0.60971,1.02427,0.92805,0.93213,0.97432,0.71291,1.17359,0.52197,1.03189,0.0017096,0.0017096,0.0017096
46,614.102,1.11947,0.60224,1.0205,0.93264,0.93296,0.97284,0.71277,1.15587,0.52236,1.01541,0.001703,0.001703,0.001703
47,627.44,1.14605,0.61408,1.01999,0.92109,0.94614,0.97336,0.7015,1.20111,0.53419,1.03471,0.0016964,0.0016964,0.0016964
48,640.58,1.12344,0.60427,1.01488,0.91176,0.94856,0.97501,0.72021,1.17647,0.52507,1.02805,0.0016898,0.0016898,0.0016898
49,653.741,1.12603,0.59839,1.01607,0.92129,0.94531,0.9759,0.71857,1.09901,0.50894,0.99894,0.0016832,0.0016832,0.0016832
50,666.767,1.10766,0.58658,1.0156,0.9167,0.9457,0.97578,0.71334,1.19038,0.51852,1.0379,0.0016766,0.0016766,0.0016766
51,680.005,1.13824,0.58761,1.0136,0.91413,0.9502,0.97286,0.71334,1.17212,0.51644,1.02362,0.00167,0.00167,0.00167
52,693.176,1.13003,0.58748,1.01564,0.9221,0.93896,0.97519,0.70662,1.22325,0.5163,1.0464,0.0016634,0.0016634,0.0016634
